doc_id,origin,title,normalized_title,source_url,source_slug,fallback_slug,canonical_slug,section_or_category,local_path
new:developer/schema/elements/woocommerce-account-form-reset-password,academy,Account - Reset Password Schema,account reset password schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-account-form-reset-password/,woocommerce-account-form-reset-password,woocommerce-account-form-reset-password,woocommerce-account-form-reset-password,developer/schema,
new:developer/schema/elements/woocommerce-account-orders,academy,Account - Orders Schema,account orders schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-account-orders/,woocommerce-account-orders,woocommerce-account-orders,woocommerce-account-orders,developer/schema,
new:developer/schema/elements/woocommerce-account-page,academy,Account - Page Schema,account page schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-account-page/,woocommerce-account-page,woocommerce-account-page,woocommerce-account-page,developer/schema,
new:developer/schema/elements/woocommerce-account-payment-methods,academy,Account - Payment Methods Schema,account payment methods schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-account-payment-methods/,woocommerce-account-payment-methods,woocommerce-account-payment-methods,woocommerce-account-payment-methods,developer/schema,
new:developer/schema/elements/woocommerce-account-view-order,academy,Account - View Order Schema,account view order schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-account-view-order/,woocommerce-account-view-order,woocommerce-account-view-order,woocommerce-account-view-order,developer/schema,
new:developer/schema/elements/woocommerce-breadcrumbs,academy,Breadcrumbs (WooCommerce) Schema,breadcrumbs woocommerce schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-breadcrumbs/,woocommerce-breadcrumbs,woocommerce-breadcrumbs,woocommerce-breadcrumbs,developer/schema,
new:developer/schema/elements/woocommerce-cart-collaterals,academy,Cart Totals Schema,cart totals schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-cart-collaterals/,woocommerce-cart-collaterals,woocommerce-cart-collaterals,woocommerce-cart-collaterals,developer/schema,
new:developer/schema/elements/woocommerce-cart-coupon,academy,Cart Coupon Schema,cart coupon schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-cart-coupon/,woocommerce-cart-coupon,woocommerce-cart-coupon,woocommerce-cart-coupon,developer/schema,
new:developer/schema/elements/woocommerce-cart-items,academy,Cart Items Schema,cart items schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-cart-items/,woocommerce-cart-items,woocommerce-cart-items,woocommerce-cart-items,developer/schema,
new:developer/schema/elements/woocommerce-checkout-coupon,academy,Checkout Coupon Schema,checkout coupon schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-coupon/,woocommerce-checkout-coupon,woocommerce-checkout-coupon,woocommerce-checkout-coupon,developer/schema,
new:developer/schema/elements/woocommerce-checkout-customer-details,academy,Checkout Customer Details Schema,checkout customer details schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-customer-details/,woocommerce-checkout-customer-details,woocommerce-checkout-customer-details,woocommerce-checkout-customer-details,developer/schema,
new:developer/schema/elements/woocommerce-checkout-login,academy,Checkout Login Schema,checkout login schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-login/,woocommerce-checkout-login,woocommerce-checkout-login,woocommerce-checkout-login,developer/schema,
new:developer/schema/elements/woocommerce-checkout-order-payment,academy,Checkout Order Payment Schema,checkout order payment schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-order-payment/,woocommerce-checkout-order-payment,woocommerce-checkout-order-payment,woocommerce-checkout-order-payment,developer/schema,
new:developer/schema/elements/woocommerce-checkout-order-review,academy,Checkout Order Review Schema,checkout order review schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-order-review/,woocommerce-checkout-order-review,woocommerce-checkout-order-review,woocommerce-checkout-order-review,developer/schema,
new:developer/schema/elements/woocommerce-checkout-order-table,academy,Checkout Order Table Schema,checkout order table schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-order-table/,woocommerce-checkout-order-table,woocommerce-checkout-order-table,woocommerce-checkout-order-table,developer/schema,
new:developer/schema/elements/woocommerce-checkout-thankyou,academy,Checkout Thank You Schema,checkout thank you schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-checkout-thankyou/,woocommerce-checkout-thankyou,woocommerce-checkout-thankyou,woocommerce-checkout-thankyou,developer/schema,
new:developer/schema/elements/woocommerce-mini-cart,academy,Mini Cart Schema,mini cart schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-mini-cart/,woocommerce-mini-cart,woocommerce-mini-cart,woocommerce-mini-cart,developer/schema,
new:developer/schema/elements/woocommerce-notice,academy,Notice Schema,notice schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-notice/,woocommerce-notice,woocommerce-notice,woocommerce-notice,developer/schema,
new:developer/schema/elements/woocommerce-products-archive-description,academy,Products Archive Description Schema,products archive description schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-products-archive-description/,woocommerce-products-archive-description,woocommerce-products-archive-description,woocommerce-products-archive-description,developer/schema,
new:developer/schema/elements/woocommerce-products-filter,academy,Products Filter Schema,products filter schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-products-filter/,woocommerce-products-filter,woocommerce-products-filter,woocommerce-products-filter,developer/schema,
new:developer/schema/elements/woocommerce-products-orderby,academy,Products Orderby Schema,products orderby schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-products-orderby/,woocommerce-products-orderby,woocommerce-products-orderby,woocommerce-products-orderby,developer/schema,
new:developer/schema/elements/woocommerce-products-pagination,academy,Products Pagination Schema,products pagination schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-products-pagination/,woocommerce-products-pagination,woocommerce-products-pagination,woocommerce-products-pagination,developer/schema,
new:developer/schema/elements/woocommerce-products-total-results,academy,Products Total Results Schema,products total results schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-products-total-results/,woocommerce-products-total-results,woocommerce-products-total-results,woocommerce-products-total-results,developer/schema,
new:developer/schema/elements/woocommerce-products,academy,Products Schema,products schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-products/,woocommerce-products,woocommerce-products,woocommerce-products,developer/schema,
new:developer/schema/elements/woocommerce-template-hook,academy,WooCommerce Template Hook Schema,woocommerce template hook schema,https://academy.bricksbuilder.io/developer/schema/elements/woocommerce-template-hook/,woocommerce-template-hook,woocommerce-template-hook,woocommerce-template-hook,developer/schema,
new:developer/schema/elements/wordpress,academy,WordPress Schema,wordpress schema,https://academy.bricksbuilder.io/developer/schema/elements/wordpress/,wordpress,wordpress,wordpress,developer/schema,
new:developer/schema/general/content-area,academy,Content Area Schema,content area schema,https://academy.bricksbuilder.io/developer/schema/general/content-area/,content-area,content-area,content-area,developer/schema,
new:developer/schema/global/breakpoints,academy,Breakpoints Schema,breakpoints schema,https://academy.bricksbuilder.io/developer/schema/global/breakpoints/,breakpoints,breakpoints,breakpoints,developer/schema,
new:developer/schema/global/color-palettes,academy,Color Palettes Schema,color palettes schema,https://academy.bricksbuilder.io/developer/schema/global/color-palettes/,color-palettes,color-palettes,color-palettes,developer/schema,
new:developer/schema/global/components,academy,Components Schema,components schema,https://academy.bricksbuilder.io/developer/schema/global/components/,components,components,components,developer/schema,
new:developer/schema/global/global-classes,academy,Global Classes Schema,global classes schema,https://academy.bricksbuilder.io/developer/schema/global/global-classes/,global-classes,global-classes,global-classes,developer/schema,
new:developer/schema/global/global-variables,academy,Global Variables Schema,global variables schema,https://academy.bricksbuilder.io/developer/schema/global/global-variables/,global-variables,global-variables,global-variables,developer/schema,
new:developer/schema/global/pseudo-classes,academy,Pseudo-Classes Schema,pseudo classes schema,https://academy.bricksbuilder.io/developer/schema/global/pseudo-classes/,pseudo-classes,pseudo-classes,pseudo-classes,developer/schema,
new:developer/schema/global/theme-styles,academy,Theme Styles Schema,theme styles schema,https://academy.bricksbuilder.io/developer/schema/global/theme-styles/,theme-styles,theme-styles,theme-styles,developer/schema,
new:developer/schema/settings/page,academy,Page Settings Schema,page settings schema,https://academy.bricksbuilder.io/developer/schema/settings/page/,page,page,page,developer/schema,
new:developer/schema/settings/template,academy,Template Settings Schema,template settings schema,https://academy.bricksbuilder.io/developer/schema/settings/template/,template,template,template,developer/schema,
new:getting-started,academy,Getting Started,getting started,https://academy.bricksbuilder.io/getting-started/,getting-started,getting-started,getting-started,getting-started,
new:getting-started/blog-post-template,academy,Blog post template,blog post template,https://academy.bricksbuilder.io/getting-started/blog-post-template/,blog-post-template,blog-post-template,blog-post-template,getting-started/blog-post-template,
new:getting-started/building-your-first-page,academy,Start your first page,start your first page,https://academy.bricksbuilder.io/getting-started/building-your-first-page/,building-your-first-page,building-your-first-page,building-your-first-page,getting-started/building-your-first-page,
new:getting-started/global-classes,academy,Global classes,global classes,https://academy.bricksbuilder.io/getting-started/global-classes/,global-classes,global-classes,global-classes,getting-started/global-classes,
new:getting-started/header-template,academy,Building a header template,building a header template,https://academy.bricksbuilder.io/getting-started/header-template/,header-template,header-template,header-template,getting-started/header-template,
new:getting-started/installation-setup,academy,Installation and setup,installation and setup,https://academy.bricksbuilder.io/getting-started/installation-setup/,installation-setup,installation-setup,installation-setup,getting-started/installation-setup,
new:getting-started/interface-tour,academy,Interface tour,interface tour,https://academy.bricksbuilder.io/getting-started/interface-tour/,interface-tour,interface-tour,interface-tour,getting-started/interface-tour,
new:getting-started/next-steps,academy,Next steps,next steps,https://academy.bricksbuilder.io/getting-started/next-steps/,next-steps,next-steps,next-steps,getting-started/next-steps,
new:getting-started/query-loops-dynamic-data,academy,Query loops and dynamic data,query loops and dynamic data,https://academy.bricksbuilder.io/getting-started/query-loops-dynamic-data/,query-loops-dynamic-data,query-loops-dynamic-data,query-loops-dynamic-data,getting-started/query-loops-dynamic-data,
new:getting-started/responsive-basics,academy,Responsive basics,responsive basics,https://academy.bricksbuilder.io/getting-started/responsive-basics/,responsive-basics,responsive-basics,responsive-basics,getting-started/responsive-basics,
new:getting-started/settings-defaults,academy,Settings and defaults,settings and defaults,https://academy.bricksbuilder.io/getting-started/settings-defaults/,settings-defaults,settings-defaults,settings-defaults,getting-started/settings-defaults,
new:getting-started/templates-intro,academy,An intro to templates,an intro to templates,https://academy.bricksbuilder.io/getting-started/templates-intro/,templates-intro,templates-intro,templates-intro,getting-started/templates-intro,
new:getting-started/theme-styles,academy,Theme styles,theme styles,https://academy.bricksbuilder.io/getting-started/theme-styles/,theme-styles,theme-styles,theme-styles,getting-started/theme-styles,
new:integrations,academy,Integrations,integrations,https://academy.bricksbuilder.io/integrations/,integrations,integrations,integrations,integrations,
new:integrations/gutenberg,academy,Gutenberg,gutenberg,https://academy.bricksbuilder.io/integrations/gutenberg/,gutenberg,gutenberg,gutenberg,integrations/gutenberg,
new:integrations/gutenberg/components-as-blocks,academy,Bricks components as blocks,bricks components as blocks,https://academy.bricksbuilder.io/integrations/gutenberg/components-as-blocks/,components-as-blocks,components-as-blocks,components-as-blocks,integrations/gutenberg,
new:integrations/how-to-set-up-your-google-maps-api-key,academy,How to set up your Google Maps API key,how to set up your google maps api key,https://academy.bricksbuilder.io/integrations/how-to-set-up-your-google-maps-api-key/,how-to-set-up-your-google-maps-api-key,how-to-set-up-your-google-maps-api-key,how-to-set-up-your-google-maps-api-key,integrations/how-to-set-up-your-google-maps-api-key,
new:integrations/how-to-use-wpml-with-bricks,academy,How to use WPML with Bricks,how to use wpml with bricks,https://academy.bricksbuilder.io/integrations/how-to-use-wpml-with-bricks/,how-to-use-wpml-with-bricks,how-to-use-wpml-with-bricks,how-to-use-wpml-with-bricks,integrations/how-to-use-wpml-with-bricks,
new:integrations/instagram-access-token,academy,How to get your Instagram Access Token,how to get your instagram access token,https://academy.bricksbuilder.io/integrations/instagram-access-token/,instagram-access-token,instagram-access-token,instagram-access-token,integrations/instagram-access-token,
new:integrations/map-leaflet,academy,Map (Leaflet),map leaflet,https://academy.bricksbuilder.io/integrations/map-leaflet/,map-leaflet,map-leaflet,map-leaflet,integrations/map-leaflet,
new:integrations/polylang,academy,How to use Polylang with Bricks,how to use polylang with bricks,https://academy.bricksbuilder.io/integrations/polylang/,polylang,polylang,polylang,integrations/polylang,
new:integrations/unsplash,academy,Unsplash Integration,unsplash integration,https://academy.bricksbuilder.io/integrations/unsplash/,unsplash,unsplash,unsplash,integrations/unsplash,
new:integrations/woocommerce,academy,WooCommerce,woocommerce,https://academy.bricksbuilder.io/integrations/woocommerce/,woocommerce,woocommerce,woocommerce,integrations/woocommerce,
new:integrations/woocommerce/advanced-modular-elements,academy,WooCommerce advanced modular elements,woocommerce advanced modular elements,https://academy.bricksbuilder.io/integrations/woocommerce/advanced-modular-elements/,advanced-modular-elements,advanced-modular-elements,advanced-modular-elements,integrations/woocommerce,
new:integrations/woocommerce/cart,academy,Cart (WooCommerce),cart woocommerce,https://academy.bricksbuilder.io/integrations/woocommerce/cart/,cart,cart,cart,integrations/woocommerce,
new:integrations/woocommerce/checkout,academy,Checkout (WooCommerce),checkout woocommerce,https://academy.bricksbuilder.io/integrations/woocommerce/checkout/,checkout,checkout,checkout,integrations/woocommerce,
new:integrations/woocommerce/create-custom-mini-cart-dynamic-fragment,academy,Create a custom mini cart with Dynamic fragment,create a custom mini cart with dynamic fragment,https://academy.bricksbuilder.io/integrations/woocommerce/create-custom-mini-cart-dynamic-fragment/,create-custom-mini-cart-dynamic-fragment,create-custom-mini-cart-dynamic-fragment,create-custom-mini-cart-dynamic-fragment,integrations/woocommerce,
new:integrations/woocommerce/creating-dynamic-woocommerce-archive-pages,academy,Creating dynamic WooCommerce archive pages,creating dynamic woocommerce archive pages,https://academy.bricksbuilder.io/integrations/woocommerce/creating-dynamic-woocommerce-archive-pages/,creating-dynamic-woocommerce-archive-pages,creating-dynamic-woocommerce-archive-pages,creating-dynamic-woocommerce-archive-pages,integrations/woocommerce,
new:integrations/woocommerce/element-checkout-coupon,academy,Element: Checkout Coupon,checkout coupon,https://academy.bricksbuilder.io/integrations/woocommerce/element-checkout-coupon/,element-checkout-coupon,element-checkout-coupon,element-checkout-coupon,integrations/woocommerce,
new:integrations/woocommerce/element-checkout-login,academy,Element: Checkout Login,checkout login,https://academy.bricksbuilder.io/integrations/woocommerce/element-checkout-login/,element-checkout-login,element-checkout-login,element-checkout-login,integrations/woocommerce,
new:integrations/woocommerce/how-to-create-product-quick-view-with-bricks,academy,How to Create Product Quick View with Bricks,how to create product quick view with bricks,https://academy.bricksbuilder.io/integrations/woocommerce/how-to-create-product-quick-view-with-bricks/,how-to-create-product-quick-view-with-bricks,how-to-create-product-quick-view-with-bricks,how-to-create-product-quick-view-with-bricks,integrations/woocommerce,
new:integrations/woocommerce/multistep-checkout-v2,academy,Checkout v2 multistep checkout,checkout v2 multistep checkout,https://academy.bricksbuilder.io/integrations/woocommerce/multistep-checkout-v2/,multistep-checkout-v2,multistep-checkout-v2,multistep-checkout-v2,integrations/woocommerce,
new:integrations/woocommerce/product-archive-woocommerce,academy,Product Archive (WooCommerce),product archive woocommerce,https://academy.bricksbuilder.io/integrations/woocommerce/product-archive-woocommerce/,product-archive-woocommerce,product-archive-woocommerce,product-archive-woocommerce,integrations/woocommerce,
new:integrations/woocommerce/product-variation-swatches,academy,Product Variation Swatches (WooCommerce),product variation swatches woocommerce,https://academy.bricksbuilder.io/integrations/woocommerce/product-variation-swatches/,product-variation-swatches,product-variation-swatches,product-variation-swatches,integrations/woocommerce,
new:integrations/woocommerce/single-product,academy,Single Product (WooCommerce),single product woocommerce,https://academy.bricksbuilder.io/integrations/woocommerce/single-product/,single-product,single-product,single-product,integrations/woocommerce,
new:integrations/woocommerce/woo-setup-wizard,academy,Woo Setup Wizard,woo setup wizard,https://academy.bricksbuilder.io/integrations/woocommerce/woo-setup-wizard/,woo-setup-wizard,woo-setup-wizard,woo-setup-wizard,integrations/woocommerce,
new:integrations/woocommerce/woocommerce-account-builder,academy,WooCommerce Account Builder,woocommerce account builder,https://academy.bricksbuilder.io/integrations/woocommerce/woocommerce-account-builder/,woocommerce-account-builder,woocommerce-account-builder,woocommerce-account-builder,integrations/woocommerce,
